date,time,t1,h1,t2,h2,t3,h3
2020-01-04,12:18:07, 70.52,30.0,71.78,31.0,71.42,30.4 
2020-01-04,12:18:13, 70.34,30.0,71.78,31.0,71.42,30.4 
2020-01-04,12:18:23, 116.42,30.0,71.78,30.9,71.42,30.4 
2020-01-04,12:18:29, 70.34,30.0,71.78,43.7,71.42,30.4 
2020-01-04,12:18:35, 70.52,30.1,71.78,31.0,71.42,30.4 
2020-01-04,12:18:43, 70.34,30.1,71.78,31.0,71.42,30.4 
2020-01-04,12:18:48, 70.52,30.1,71.78,31.0,69.98,30.4 
2020-01-04,12:18:56, 70.52,30.1,71.78,31.0,71.42,30.4 
2020-01-04,12:19:02, 70.52,30.1,71.78,31.0,71.42,30.4 
2020-01-04,12:19:08, 70.34,30.1,71.78,31.0,71.42,30.4 
2020-01-04,12:19:14, 70.34,30.1,71.78,31.0,71.24,30.4 
2020-01-04,12:19:24, 70.34,30.1,71.78,31.0,71.42,30.4 
2020-01-04,12:19:29, 70.52,30.1,71.78,31.0,71.42,30.8 
2020-01-04,12:19:35, 70.34,30.1,71.78,31.0,71.42,30.5 
2020-01-04,12:19:41, 70.34,30.1,71.78,31.0,71.42,30.5 
2020-01-04,12:19:47, 70.34,30.1,71.78,31.0,71.42,30.5 
2020-01-04,12:19:53, 70.34,30.1,71.78,31.0,48.38,30.5 
2020-01-04,12:19:58, 70.34,30.1,71.78,31.0,71.42,30.5 
2020-01-04,12:20:04, 70.34,30.1,71.78,31.8,71.42,30.5 
2020-01-04,12:20:10, 70.34,30.2,71.78,31.0,71.24,30.4 
2020-01-04,12:20:16, 70.34,30.2,71.78,31.0,71.42,30.5 
2020-01-04,12:20:24, 70.34,30.2,71.78,31.0,71.42,30.5 
2020-01-04,12:20:32, 70.34,30.2,71.78,31.0,71.42,30.5 
2020-01-04,12:20:38, 70.34,30.3,71.78,31.1,71.42,30.5 
2020-01-04,12:20:43, 70.34,30.3,71.78,31.1,71.42,30.5 
2020-01-04,12:20:51, 70.34,30.3,71.78,31.1,71.42,30.6 
2020-01-04,12:20:57, 70.34,30.3,71.78,31.1,71.42,30.6 
2020-01-04,12:21:03, 70.34,30.3,71.78,31.1,71.42,30.6 
2020-01-04,12:21:09, 70.34,30.3,71.78,31.1,71.42,30.6 
2020-01-04,12:21:14, 70.34,30.3,71.78,31.1,71.24,81.8 
2020-01-04,12:21:20, 70.34,30.4,71.78,31.1,71.42,30.6 
2020-01-04,12:21:28, 70.34,30.4,71.78,31.2,71.24,30.6 
2020-01-04,12:21:36, 70.34,30.4,71.78,31.2,71.24,30.6 
2020-01-04,12:21:42, 70.34,30.5,71.78,31.2,71.42,30.7 
2020-01-04,12:21:50, 70.34,30.5,71.78,31.2,71.42,30.7 
2020-01-04,12:21:55, 70.34,30.5,71.78,31.2,71.24,30.6 
2020-01-04,12:22:03, 70.34,30.5,71.78,31.2,71.42,30.7 
2020-01-04,12:22:09, 70.34,30.5,71.06,31.2,71.42,30.7 
2020-01-04,12:22:15, 70.34,30.4,71.78,31.3,71.24,30.7 
2020-01-04,12:22:21, 70.34,30.5,71.78,31.3,71.42,30.8 
2020-01-04,12:22:26, 70.34,30.5,71.78,31.3,71.42,30.8 
2020-01-04,12:22:34, 70.34,30.5,71.78,31.3,71.24,30.7 
2020-01-04,12:22:40, 70.34,30.5,71.78,31.2,71.24,30.7 
2020-01-04,12:22:48, 116.42,30.5,71.78,31.3,71.42,30.8 
2020-01-04,12:22:54, 70.34,30.6,71.78,82.5,71.24,30.7 
2020-01-04,12:23:00, 70.34,30.6,71.78,31.3,71.24,30.7 
2020-01-04,12:23:06, 70.16,30.5,71.78,31.3,71.06,30.8 
2020-01-04,12:23:11, 70.34,30.6,71.78,31.3,71.24,30.7 
2020-01-04,12:23:17, 70.34,30.6,71.78,31.3,71.24,30.8 
2020-01-04,12:23:25, 70.34,30.6,71.78,31.3,71.24,30.8 
2020-01-04,12:23:31, 70.34,30.6,71.78,31.3,71.24,30.8 
2020-01-04,12:23:37, 70.34,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:23:44, 70.34,30.6,71.78,31.4,71.42,30.8 
2020-01-04,12:23:52, 47.30,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:23:58, 70.34,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:24:06, 71.78,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:24:12, 70.34,30.6,71.78,31.4,71.42,30.9 
2020-01-04,12:24:18, 70.34,30.5,71.78,31.4,71.24,30.8 
2020-01-04,12:24:25, 70.34,30.6,71.60,31.3,71.24,30.8 
2020-01-04,12:24:31, 70.34,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:24:41, 70.34,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:24:47, -6.34,30.6,71.60,31.3,71.24,30.8 
2020-01-04,12:24:55, 70.34,30.6,71.60,31.3,71.24,30.8 
2020-01-04,12:25:01, 70.34,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:25:06, 70.34,30.6,72.14,31.4,71.24,30.8 
2020-01-04,12:25:14, 70.34,30.6,71.78,31.4,71.24,30.8 
2020-01-04,12:25:20, 70.34,30.6,71.60,31.3,71.24,30.8 
2020-01-04,12:25:28, 70.34,30.6,71.78,31.4,71.42,30.9 
2020-01-04,12:25:34, 70.34,30.6,77.36,31.3,71.24,30.9 
2020-01-04,12:25:40, 70.34,30.6,71.78,31.4,71.24,30.5 
2020-01-04,12:25:45, 70.34,30.7,71.78,31.4,71.24,30.8 
2020-01-04,12:25:53, 70.34,30.7,71.78,31.4,71.24,30.9 
2020-01-04,12:26:01, 70.34,30.7,71.78,31.5,71.24,30.9 
2020-01-04,12:26:09, 70.34,30.7,71.78,31.4,71.24,30.9 
2020-01-04,12:26:15, 70.34,30.8,71.78,31.4,71.24,30.9 
2020-01-04,12:26:23, 70.34,30.8,71.60,31.4,71.24,30.9 
2020-01-04,12:26:29, 70.34,30.8,71.78,31.5,71.24,30.9 
2020-01-04,12:26:37, 70.34,30.8,71.60,31.4,71.24,30.9 
2020-01-04,12:26:43, 70.34,30.8,71.78,31.5,71.24,30.9 
2020-01-04,12:26:51, 70.34,30.8,71.78,31.6,71.24,31.0 
2020-01-04,12:26:57, 70.34,30.8,71.78,31.5,71.24,31.0 
2020-01-04,12:27:03, 70.34,30.9,71.60,31.5,71.24,31.0 
2020-01-04,12:27:11, 70.34,30.9,71.78,31.6,71.24,31.0 
2020-01-04,12:27:17, 70.34,30.9,71.60,31.5,71.24,31.1 
2020-01-04,12:27:22, 70.34,31.0,71.78,31.6,71.24,31.1 
2020-01-04,12:27:28, 70.34,31.0,71.78,31.6,71.24,31.1 
2020-01-04,12:27:34, 70.34,31.0,71.60,31.6,71.24,31.1 
2020-01-04,12:27:42, 70.34,31.0,71.60,31.6,71.24,31.1 
2020-01-04,12:27:48, 70.34,31.0,71.60,31.6,71.24,31.1 
2020-01-04,12:27:54, 70.34,31.0,71.78,31.7,71.24,31.1 
2020-01-04,12:28:02, 70.34,31.0,71.78,31.7,71.24,31.1 
2020-01-04,12:28:08, 70.34,30.9,71.60,31.6,71.24,31.1 
2020-01-04,12:28:13, 70.34,31.0,71.78,31.6,71.24,31.1 
2020-01-04,12:28:19, 70.34,30.9,71.60,31.6,71.24,31.1 
2020-01-04,12:28:25, 70.34,30.9,71.78,31.7,71.24,31.1 
2020-01-04,12:28:31, 70.34,30.9,71.60,31.6,71.24,31.1 
2020-01-04,12:28:37, 70.34,30.9,71.60,31.6,71.24,31.1 
2020-01-04,12:28:43, 70.34,30.9,71.78,31.7,71.24,31.1 
2020-01-04,12:28:49, 70.34,30.9,71.78,31.7,71.24,31.1 
2020-01-04,12:28:59, 70.34,30.9,71.78,31.7,71.24,31.1 
2020-01-04,12:29:05, 70.34,30.9,71.60,31.6,71.24,31.1 
2020-01-04,12:29:13, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:29:19, 70.34,30.9,71.78,31.7,71.24,31.2 
2020-01-04,12:29:24, 70.34,30.9,71.78,31.7,71.24,31.2 
2020-01-04,12:29:30, 70.34,30.9,71.78,31.7,71.24,31.2 
2020-01-04,12:29:36, 70.34,31.0,71.78,31.7,71.24,31.2 
2020-01-04,12:29:42, 70.34,31.0,71.78,31.7,71.24,31.2 
2020-01-04,12:29:48, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:29:54, 70.34,31.0,71.78,31.7,71.24,31.2 
2020-01-04,12:30:02, 70.34,31.0,71.78,31.7,71.24,31.2 
2020-01-04,12:30:08, 70.34,30.9,71.78,31.7,71.24,31.2 
2020-01-04,12:30:16, 70.34,31.0,71.78,31.7,71.24,31.2 
2020-01-04,12:30:24, 70.34,31.0,71.78,31.7,71.24,31.2 
2020-01-04,12:30:32, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:30:37, 70.34,31.0,71.78,31.7,71.24,31.2 
2020-01-04,12:30:43, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:30:53, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:30:59, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:31:07, 70.34,30.9,71.78,31.7,71.24,31.2 
2020-01-04,12:31:17, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:31:23, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:31:33, 70.34,30.9,117.86,31.7,71.24,31.2 
2020-01-04,12:31:41, 70.34,31.0,71.60,31.7,70.88,31.2 
2020-01-04,12:31:47, 70.34,31.0,71.60,30.9,71.24,31.2 
2020-01-04,12:31:52, 70.34,30.9,71.78,31.8,71.24,31.2 
2020-01-04,12:32:00, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:32:06, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:32:12, 70.34,31.1,71.60,31.7,71.24,31.2 
2020-01-04,12:32:18, 70.34,30.9,71.78,31.8,71.24,31.2 
2020-01-04,12:32:24, 70.34,30.9,60.08,31.7,71.24,31.2 
2020-01-04,12:32:30, 70.34,31.0,71.78,31.8,71.24,31.2 
2020-01-04,12:32:36, 70.34,30.8,71.78,31.8,71.24,31.4 
2020-01-04,12:32:42, 70.34,30.9,71.78,31.8,71.24,31.2 
2020-01-04,12:32:49, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:32:55, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:33:03, 70.34,30.9,71.78,31.8,71.24,31.2 
2020-01-04,12:33:09, 70.34,30.9,117.68,31.7,71.24,31.2 
2020-01-04,12:33:17, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:33:23, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:33:28, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:33:37, 70.34,27.7,71.60,31.7,71.24,31.2 
2020-01-04,12:33:42, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:33:52, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:33:58, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:34:04, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:34:09, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:34:15, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:34:25, 70.34,30.9,71.78,31.8,71.24,31.2 
2020-01-04,12:34:35, 70.34,30.9,71.60,31.7,71.24,31.2 
2020-01-04,12:34:45, 70.34,30.9,71.60,31.7,48.20,31.2 
2020-01-04,12:34:51, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:34:57, 70.34,31.0,71.60,31.7,71.42,31.2 
2020-01-04,12:35:03, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:35:11, 70.34,31.0,71.60,31.7,71.24,31.4 
2020-01-04,12:35:17, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:35:22, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:35:28, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:35:34, 70.34,31.0,71.78,31.8,71.24,31.2 
2020-01-04,12:35:42, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:35:48, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:35:53, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:35:59, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:05, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:13, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:19, 70.34,31.0,71.60,31.7,77.00,31.3 
2020-01-04,12:36:24, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:30, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:38, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:44, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:49, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:36:57, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:37:03, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:37:09, 70.34,31.0,71.60,31.7,71.24,31.2 
2020-01-04,12:37:17, 70.34,31.0,71.78,31.8,71.24,31.2 
